,county_state,total_marital,never_married,now_married,separated,widowed,divorced,state_id,county_id
0,"Chaffee County, Colorado",18661,3303,11236,47,1513,2562,8,15
1,"Garfield County, Colorado",47774,13264,27474,500,1713,4823,8,45
2,"Jefferson County, Colorado",490331,147548,256343,5533,21255,59652,8,59
3,"Adams County, Colorado",405343,132990,201572,8200,14712,47869,8,1
4,"Eagle County, Colorado",45961,17827,22549,202,484,4899,8,37
5,"Montezuma County, Colorado",22217,3599,13536,807,893,3382,8,83
6,"Boulder County, Colorado",276608,106304,127359,2302,10691,29952,8,13
7,"Routt County, Colorado",21186,6884,10356,193,663,3090,8,107
8,"Pueblo County, Colorado",137908,43952,63598,2168,7716,20474,8,101
9,"Mesa County, Colorado",127048,31346,72477,1377,5547,16301,8,77
10,"El Paso County, Colorado",577626,174876,305249,7668,24534,65299,8,41
11,"Arapahoe County, Colorado",530645,175522,262450,7428,20771,64474,8,5
12,"Denver County, Colorado",608905,260501,240187,7692,25003,75522,8,31
13,"Weld County, Colorado",254364,73488,138959,2947,12423,26547,8,123
14,"Douglas County, Colorado",280305,68303,176209,2676,8820,24297,8,35
15,"La Plata County, Colorado",47675,13830,24411,301,1934,7199,8,67
16,"Larimer County, Colorado",299971,104536,151606,1733,11149,30947,8,69
17,"Logan County, Colorado",18890,4930,10192,43,797,2928,8,75
18,"Teller County, Colorado",23357,6005,13188,148,1444,2572,8,119
19,"Elbert County, Colorado",22309,4596,14264,139,1035,2275,8,39
20,"Summit County, Colorado",25614,6022,17359,82,220,1931,8,117
21,"Delta County, Colorado",26417,4157,15528,239,1704,4789,8,29
22,"Fremont County, Colorado",42482,10813,20561,829,2488,7791,8,43
23,"Montrose County, Colorado",34894,8600,20302,350,1896,3746,8,85
24,"Morgan County, Colorado",22745,5093,13736,565,1012,2339,8,87
25,"Otero County, Colorado",17252,3711,9836,162,1368,2175,8,89
26,"Broomfield County, Colorado",58047,16416,32578,557,2051,6445,8,14
