,county_state,total_sex_byage,total_male,male_u5,male_5_9,male_10_14,male_15_17,male_18_19,male_20,male_21,male_22_24,male_25_29,male_30_34,male_35_39,male_40_44,male_45_49,male_50_54,male_55_59,male_60_61,male_62_64,male_65_66,male_67_69,male_70_74,male_75_79,male_80_84,male_85_over,total_female,female_u5,female_5_9,female_10_14,female_15_17,female_18_19,female_20,female_21,female_22_24,female_25_29,female_30_34,female_35_39,female_40_44,female_45_49,female_50_54,female_55_59,female_60_61,female_62_64,female_65_66,female_67_69,female_70_74,female_75_79,female_80_84,female_85_over,state_id,county_id
0,"Costilla County, Colorado",3524,1822,99,102,107,95,41,15,19,32,71,73,72,96,130,149,151,57,110,74,89,109,69,44,18,1702,76,94,98,65,42,16,12,44,69,71,77,87,113,150,146,54,84,62,72,102,66,51,51,8,23
1,"Crowley County, Colorado",5823,4199,88,110,136,81,46,59,65,283,546,479,430,401,438,327,245,72,96,50,67,83,40,31,26,1624,94,100,104,76,47,13,11,40,69,83,80,89,123,128,137,37,76,37,62,52,61,54,51,8,25
2,"Custer County, Colorado",4255,2195,62,95,113,85,27,16,10,26,82,95,105,112,136,206,246,116,155,92,125,137,85,45,24,2060,74,99,129,73,26,2,9,24,48,68,83,106,142,223,265,112,131,85,87,110,89,50,25,8,27
3,"Delta County, Colorado",30952,15590,887,913,1042,680,356,139,139,467,826,808,832,868,1084,1242,1187,466,718,421,560,746,542,367,300,15362,865,930,919,615,277,135,127,388,730,726,746,845,1059,1207,1283,490,717,401,562,786,614,429,511,8,29
4,"Denver County, Colorado",600158,300089,22252,18894,15319,8920,7191,3981,4039,15430,33027,29434,26293,21852,19200,18077,16696,5869,7776,3891,4750,5911,4630,3550,3107,300069,21263,18477,15046,8595,7569,4018,4002,16218,32814,27555,22890,18728,17446,17753,16801,6309,8292,4325,5707,7569,6274,5905,6513,8,31
5,"Douglas County, Colorado",285465,141253,11278,13587,12664,6913,2931,957,874,3164,6716,8881,12191,13149,12648,10824,8296,2807,3806,1887,2319,2356,1455,923,627,144212,10622,13077,12254,6617,2444,894,878,3270,7468,10059,12727,13561,12938,10985,8651,3091,3900,1933,2303,2528,1626,1261,1125,8,35
6,"Dolores County, Colorado",2064,1063,58,63,71,40,14,6,5,27,53,61,66,71,66,93,84,37,49,26,48,54,33,26,12,1001,78,62,55,35,12,7,9,23,50,50,58,67,69,84,74,35,44,29,32,42,31,26,29,8,33
7,"Grand County, Colorado",14843,7929,416,421,431,261,180,52,82,277,560,556,583,570,619,779,719,260,332,150,215,204,157,76,29,6914,422,421,412,234,111,53,59,229,453,465,442,508,644,704,606,218,245,137,155,163,120,64,49,8,49
8,"Elbert County, Colorado",23086,11553,594,790,976,611,296,99,83,222,361,452,614,936,1233,1252,1066,332,492,262,279,300,164,85,54,11533,563,821,917,582,249,83,83,205,367,472,704,993,1295,1301,1052,350,447,188,233,239,158,119,112,8,39
9,"El Paso County, Colorado",622263,310162,23152,23050,23252,14097,10417,5512,5363,15708,23952,20527,20225,20312,23168,22042,17995,6237,8264,4344,5414,6542,5074,3203,2312,312101,22060,22029,21983,13053,8608,4454,4349,13614,22705,20303,20309,20778,24397,23219,19409,6688,8981,4762,6179,8133,6466,4731,4891,8,41
10,"Fremont County, Colorado",46824,27032,1069,1082,1216,831,458,263,311,1005,2353,2248,2234,2131,2276,2107,1854,707,962,574,778,958,740,523,352,19792,1051,1106,1159,697,420,169,174,518,899,866,936,1153,1500,1602,1656,645,922,572,722,982,772,658,613,8,43
11,"Garfield County, Colorado",56389,29107,2300,2287,2070,1260,716,331,307,1219,2276,2227,2205,2029,2169,2146,1947,644,784,389,452,567,341,257,184,27282,2190,2065,1927,1117,611,302,290,957,2059,2094,1981,1976,2010,2045,1831,558,742,348,425,557,439,350,408,8,45
12,"Gilpin County, Colorado",5441,2883,148,138,117,88,48,14,20,64,118,169,248,223,309,321,330,104,148,64,81,63,36,25,7,2558,133,150,121,64,25,9,15,43,104,181,204,212,259,300,291,89,120,53,71,55,28,17,14,8,47
13,"Larimer County, Colorado",299630,148637,9034,9118,9017,5555,5731,3310,3259,8772,11623,10229,9779,8773,9936,10676,9928,3556,4598,2494,3134,3819,2734,1934,1628,150993,8520,8900,8533,5380,6088,3436,3306,7892,10711,9568,9063,8950,10573,11382,10373,3778,4742,2607,3550,4210,3383,2847,3201,8,69
14,"Gunnison County, Colorado",15324,8306,437,409,379,215,405,288,261,643,727,604,604,585,458,557,575,208,260,156,162,167,91,70,45,7018,342,435,348,215,306,168,177,398,555,504,493,454,534,510,517,152,250,118,152,142,101,74,73,8,51
15,"Hinsdale County, Colorado",843,443,30,25,30,10,5,8,1,17,16,21,14,29,34,32,44,22,22,16,18,21,14,5,9,400,30,21,20,2,1,2,4,22,23,19,25,19,32,41,35,12,28,14,16,13,10,7,4,8,53
16,"Huerfano County, Colorado",6711,3332,144,179,147,136,77,21,18,56,130,128,139,168,250,264,324,141,191,103,175,212,137,87,105,3379,130,148,186,118,72,23,21,81,99,134,123,163,242,319,321,139,190,99,168,199,133,125,146,8,55
17,"Jackson County, Colorado",1394,736,39,25,45,18,17,9,7,24,39,41,35,43,68,80,68,24,31,24,22,22,27,19,9,658,23,51,38,21,13,7,3,14,27,29,41,43,53,63,57,21,20,26,27,32,25,16,8,8,57
18,"Jefferson County, Colorado",534543,265317,15536,16866,17477,11273,7334,3354,3211,10143,17243,16532,17365,18670,21697,22879,20050,6933,9238,4605,5796,7141,5363,3776,2835,269226,14875,15973,16505,10585,6120,2839,2715,9153,16164,15862,16975,18965,23187,23421,21039,7215,9738,5027,6641,8375,6725,5367,5760,8,59
19,"Kiowa County, Colorado",1398,687,25,47,46,42,13,6,1,15,45,32,31,31,48,60,69,21,23,13,24,34,21,23,17,711,45,37,43,29,14,7,6,13,25,31,42,27,61,63,53,25,22,18,18,47,19,24,42,8,61
20,"Kit Carson County, Colorado",8270,4638,262,244,249,174,105,39,33,197,422,355,342,332,394,370,284,88,147,63,112,162,115,83,66,3632,288,220,243,159,72,38,35,105,185,198,193,203,261,277,244,82,108,80,136,151,116,109,129,8,63
