,county_state,total_pop,total_urb_rur,urban,urban_ins_ars,urban_ins_cls,rural,total_race,white,black,american_indian,asian,nat_hawaiian,some_othr_race,two_or_more_races,hisp_latino,not_hisp_latino,total_hisp_latino,state_id,county_id
0,"Costilla County, Colorado",3524,3524,0,0,0,3524,3524,2397,24,104,34,9,803,153,3524,1197,2327,8,23
1,"Crowley County, Colorado",5823,5823,0,0,0,5823,5823,4509,559,139,59,0,456,101,5823,4137,1686,8,25
2,"Custer County, Colorado",4255,4255,0,0,0,4255,4255,4055,44,30,16,0,39,71,4255,4055,200,8,27
3,"Delta County, Colorado",30952,30952,11399,0,11399,19553,30952,27761,160,295,160,15,1862,699,30952,26607,4345,8,29
4,"Denver County, Colorado",600158,600158,600158,600158,0,0,600158,413696,61435,8237,20433,607,71191,24559,600158,409193,190965,8,31
5,"Douglas County, Colorado",285465,285465,256098,247595,8503,29367,285465,257598,3476,1183,10716,192,4894,7406,285465,264073,21392,8,35
6,"Dolores County, Colorado",2064,2064,0,0,0,2064,2064,1920,4,60,2,2,26,50,2064,1982,82,8,33
7,"Grand County, Colorado",14843,14843,2583,0,2583,12260,14843,13877,57,73,125,8,462,241,14843,13727,1116,8,49
8,"Elbert County, Colorado",23086,23086,0,0,0,23086,23086,21861,164,152,173,25,272,439,23086,21852,1234,8,39
9,"El Paso County, Colorado",622263,622263,566668,559360,7308,55595,622263,496258,38492,5947,17055,2185,30539,31787,622263,528598,93665,8,41
10,"Fremont County, Colorado",46824,46824,34453,0,34453,12371,46824,42225,1843,810,282,22,761,881,46824,41054,5770,8,43
11,"Garfield County, Colorado",56389,56389,42797,0,42797,13592,56389,46367,385,639,370,46,7122,1460,56389,40411,15978,8,45
12,"Gilpin County, Colorado",5441,5441,0,0,0,5441,5441,5157,28,41,77,10,31,97,5441,5174,267,8,47
13,"Larimer County, Colorado",299630,299630,264692,251386,13306,34938,299630,271267,2500,2206,5800,224,9728,7905,299630,268002,31628,8,69
14,"Gunnison County, Colorado",15324,15324,6343,0,6343,8981,15324,14152,48,208,100,4,510,302,15324,14069,1255,8,51
15,"Hinsdale County, Colorado",843,843,0,0,0,843,843,802,3,9,3,0,11,15,843,819,24,8,53
16,"Huerfano County, Colorado",6711,6711,2943,0,2943,3768,6711,5560,35,214,25,13,604,260,6711,4343,2368,8,55
17,"Jackson County, Colorado",1394,1394,0,0,0,1394,1394,1290,0,17,1,0,70,16,1394,1244,150,8,57
18,"Jefferson County, Colorado",534543,534543,497679,484123,13556,36864,534543,472694,5667,4717,14037,457,22425,14546,534543,458098,76445,8,59
19,"Kiowa County, Colorado",1398,1398,0,0,0,1398,1398,1346,4,7,0,0,20,21,1398,1320,78,8,61
20,"Kit Carson County, Colorado",8270,8270,4243,0,4243,4027,8270,7316,225,59,36,7,514,113,8270,6696,1574,8,63
21,"Lake County, Colorado",7310,7310,5039,0,5039,2271,7310,5898,27,97,33,4,988,263,7310,4452,2858,8,65
22,"Las Animas County, Colorado",15507,15507,9181,0,9181,6326,15507,12967,218,375,110,7,1299,531,15507,9061,6446,8,71
23,"La Plata County, Colorado",51334,51334,20560,0,20560,30774,51334,44546,204,2987,286,31,1680,1600,51334,45278,6056,8,67
24,"Morgan County, Colorado",28159,28159,18994,0,18994,9165,28159,22360,808,237,140,30,3920,664,28159,18653,9506,8,87
25,"Lincoln County, Colorado",5467,5467,0,0,0,5467,5467,4868,290,51,43,2,109,104,5467,4784,683,8,73
26,"Logan County, Colorado",22709,22709,16088,0,16088,6621,22709,20213,900,263,127,15,845,346,22709,19158,3551,8,75
27,"Mesa County, Colorado",146723,146723,128124,128124,0,18599,146723,131181,935,1554,1121,161,7878,3893,146723,127171,19552,8,77
28,"Mineral County, Colorado",712,712,0,0,0,712,712,693,2,4,1,0,2,10,712,691,21,8,79
29,"Moffat County, Colorado",13795,13795,10021,0,10021,3774,13795,12422,42,122,77,7,819,306,13795,11810,1985,8,81
30,"Montezuma County, Colorado",25535,25535,8380,0,8380,17155,25535,20704,58,3128,121,13,836,675,25535,22717,2818,8,83
31,"Montrose County, Colorado",41276,41276,22706,0,22706,18570,41276,35804,162,446,255,25,3584,1000,41276,33149,8127,8,85
