Year,Election Type,County,Precinct,Active Voters,Inactive Voters,Total Voters,Ballots Cast,Total Voters Turnout %,Comments
2012,G,ADAMS,4253001245,291,69,360,353,98.06,
2012,G,ADAMS,4255601241,39,19,58,35,60.34,
2012,G,ADAMS,4255601246,946,374,1320,889,67.35,
2012,G,ADAMS,4255601247,389,70,459,372,81.05,
2012,G,ADAMS,4255601248,1748,464,2212,1670,75.5,
2012,G,ADAMS,4255601249,18,6,24,18,75,
2012,G,ADAMS,4255601250,274,62,336,252,75,
2012,G,ADAMS,4255601251,12,2,14,13,92.86,
2012,G,ADAMS,6243101150,1255,374,1629,1226,75.26,
2012,G,ADAMS,6243101151,1139,344,1483,1113,75.05,
2012,G,ADAMS,6243101159,875,180,1055,853,80.85,
2012,G,ADAMS,6243401075,825,124,949,793,83.56,
2012,G,ADAMS,6243401076,1019,312,1331,1027,77.16,
2012,G,ADAMS,6243401077,603,185,788,586,74.37,
2012,G,ADAMS,6245601071,517,149,666,503,75.53,
2012,G,ADAMS,6245601072,143,39,182,142,78.02,
2012,G,ADAMS,6245601073,799,175,974,779,79.98,
2012,G,ADAMS,6245601074,903,203,1106,892,80.65,
2012,G,ADAMS,6245601160,309,64,373,300,80.43,
2012,G,ADAMS,6253001152,913,235,1148,876,76.31,
2012,G,ADAMS,6253001153,551,91,642,513,79.91,
2012,G,ADAMS,6253001154,50,11,61,46,75.41,
2012,G,ADAMS,6253001155,267,35,302,250,82.78,
2012,G,ADAMS,6253001156,221,37,258,219,84.88,
2012,G,ADAMS,6253001157,769,162,931,734,78.84,
2012,G,ADAMS,6253001226,179,59,238,165,69.33,
2012,G,ADAMS,6253001229,1844,1291,3135,1387,44.24,
2012,G,ADAMS,6253001230,1637,707,2344,1377,58.75,
2012,G,ADAMS,6253001231,1190,715,1905,933,48.98,
2012,G,ADAMS,6253001232,289,129,418,242,57.89,
2012,G,ADAMS,6253001233,1082,345,1427,941,65.94,
2012,G,ADAMS,6253001234,891,381,1272,791,62.19,
2012,G,ADAMS,6253001235,642,431,1073,511,47.62,
2012,G,ADAMS,6253001236,941,411,1352,819,60.58,
2012,G,ADAMS,6253001237,922,440,1362,756,55.51,
2012,G,ADAMS,6253001238,930,382,1312,861,65.63,
2012,G,ADAMS,6253001239,847,336,1183,764,64.58,
2012,G,ADAMS,6253001240,821,335,1156,732,63.32,
2012,G,ADAMS,6253001242,375,103,478,391,81.8,
2012,G,ADAMS,6253001243,634,114,748,612,81.82,
2012,G,ADAMS,6253101158,693,254,947,688,72.65,
2012,G,ADAMS,6255601161,119,26,145,114,78.62,
2012,G,ADAMS,6255601162,696,115,811,683,84.22,
2012,G,ADAMS,6255601163,144,28,172,133,77.33,
2012,G,ADAMS,6255601164,369,69,438,358,81.74,
2012,G,ADAMS,6255601165,510,23,533,494,92.68,
2012,G,ADAMS,6255601166,382,73,455,371,81.54,
2012,G,ADAMS,6255601167,421,84,505,411,81.39,
2012,G,ADAMS,6255601168,127,24,151,123,81.46,
2012,G,ADAMS,6255601169,406,86,492,394,80.08,
2012,G,ADAMS,6255601170,1021,434,1455,942,64.74,
2012,G,ADAMS,6255601171,1026,261,1287,963,74.83,
2012,G,ADAMS,6255601172,197,94,291,181,62.2,
2012,G,ADAMS,6255601173,89,20,109,84,77.06,
2012,G,ADAMS,6255601174,145,27,172,142,82.56,
2012,G,ADAMS,6255601175,990,259,1249,922,73.82,
2012,G,ADAMS,6255601176,332,62,394,318,80.71,
2012,G,ADAMS,6255601177,0,0,0,0,0,
2012,G,ADAMS,6255601178,1,1,2,0,0,
2012,G,ADAMS,6255601179,0,0,0,0,0,
2012,G,ADAMS,6255601180,490,111,601,472,78.54,
2012,G,ADAMS,6255601181,1056,410,1466,1028,70.12,
2012,G,ADAMS,6255601182,452,144,596,436,73.15,
2012,G,ADAMS,6255601183,183,40,223,179,80.27,
2012,G,ADAMS,6255601184,234,53,287,227,79.09,
2012,G,ADAMS,6255601185,421,92,513,415,80.9,
