county,year,totalPopulation
La Plata,2010,51441
Mesa,2041,213467.19510836
Prowers,2032,11861.404128548
Ouray,2004,4022.999999981
Otero,2005,19370.00000054
Washington,2042,4871.877803602
Saguache,2047,6362.16479063
Jefferson,1999,520811
Grand,2007,14339.000000258
Garfield,2006,51106
Rio Blanco,1991,6024
Grand,2033,19549.242905078
Clear Creek,2004,9461.000000165
San Miguel,2021,8799.630449455
San Miguel,2045,14065.66142987
Pueblo,2026,181724.88128614
Mesa,2036,198111.67756731
San Juan,1996,591
Clear Creek,2002,9466.000000489
Washington,2021,4906.83802411
Bent,1994,5401
Gunnison,1996,12241
Teller,1998,19671
Alamosa,2008,15345.99999964
Jackson,1991,1560
Delta,2010,30889
Washington,2045,4782.350312301
Garfield,2030,75001.46816634
Gunnison,1993,11306
Sedgwick,2027,2340.165693106
Morgan,2027,31298.100608932
Montrose,2037,58308.69028867
San Juan,1993,541
Ouray,2002,3902.999999991
San Miguel,2042,13435.742323432
Prowers,2016,11939.00000059
Pitkin,2004,16076.999999966
Phillips,2034,4262.708974001
San Juan,1995,581
Denver,2005,559459.0000001
Park,2032,21708.883557474
Gunnison,1995,11982
Elbert,1990,9746
Mineral,1991,571
Las Animas,2045,12918.616477765
Custer,2020,4914.158226543
Conejos,2027,8208.454588283
Jefferson,2043,655420.0533283
Alamosa,2022,16967.425903093
Las Animas,2021,13995.466502177
Broomfield,2020,73821.94308517
Broomfield,2028,93434.68588773
Boulder,2033,381010.71695846
Archuleta,2026,15306.512456168
Arapahoe,2034,783569.0219225
Custer,2028,4908.113687775
Dolores,2003,1879.000000033
Boulder,2007,288757.0000072
Park,2016,17339.000000575
Pitkin,2002,16101.000000289
Yuma,2031,10619.823803146
Las Animas,2042,13095.002008193
Garfield,2012,56749.000000128
Bent,2015,5885.000000027
Mineral,2037,864.323241931
Otero,2045,16253.907351842
Montezuma,2048,40644.27402345
Jefferson,2014,558554.00000281
Lincoln,2048,7761.457790034
Otero,2021,18299.713436774
Grand,2031,18909.338637266
Conejos,2046,8533.00067864
Lake,2044,9156.636279671
Mesa,2011,147874.00000041
El Paso,2044,1013757.7249352
Adams,2004,385944.9999988
Pueblo,2030,189805.68203476
Douglas,2015,321772.00000068
Phillips,2003,4477.00000007
San Miguel,2005,7045.000000182
Prowers,2035,11786.845129275
Cheyenne,2040,1722.533896485
Adams,2002,371181.0000036
Garfield,2026,69289.27298056
Washington,2005,4995.000000032
Otero,2042,16545.997190749
Dolores,2034,1951.487725875
Jefferson,2050,661427.5499795
Arapahoe,2003,516354.0000059
Pueblo,2006,152063.9999974
Archuleta,2012,12138.99999986
Douglas,1994,92530
Denver,2021,747722.6013645
Logan,2002,22094.99999993
Lake,2048,9268.312348364
Rio Blanco,2037,6842.971538578
El Paso,2048,1055092.3531386
Huerfano,2004,7729.00000013
Hinsdale,2023,867.023347358
Pueblo,2012,160361.00000113
Alamosa,1992,13572
Archuleta,2006,11798.00000033
Denver,2045,892769.3862189
Costilla,2023,3770.362472638
Las Animas,2005,15570.00000044
Broomfield,2013,59979.000000464
Montezuma,2044,38921.48814534
Custer,2013,4256.000000041
Lincoln,2044,7500.157126303
Denver,2042,894042.1439106
Montrose,1991,25272
Yuma,2007,9880.99999992
Chaffee,2047,24884.31333325
Archuleta,2030,16509.770484221
Kiowa,2040,1190.483723656
Park,2035,22271.796314432
Boulder,2031,374123.85674689
