Biden_ Harris,Trump_ Pence,Blankenship_ Mohr,Hammons_Bodenstab,Hawkins_Walker,Huber_Atwood,Jorgensen_Cohen,Carroll_Patel,Charles_Wallace,Collins_Parker,De_La_Fuente_Richardson,Hunter_Adams,Jacob-Fambro_Maryam Kennedy_Jarrett,Kishore_Santa_Cruz,Kopitke_Re-Vo-Sorenson,La_Riva_Freeman,McHugh_Storm,Pierce_Ballard,Scott_Tepool,West_Tidball,
County,Registered Voters,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice_Total,TotalVotes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total,
Adams,0,134202,134202,95657,95657,455,455,264,264,744,744,37,37,3731,3731,160,160,197,197,46,46,72,72,38,38,40,40,24,24,13,13,102,102,90,90,60,60,51,51,23,23,729,729,236735,
Alamosa,0,3759,3759,3813,3813,22,22,6,6,23,23,1,1,90,90,7,7,11,11,2,2,5,5,1,1,0,0,5,5,2,2,3,3,3,3,4,4,3,3,0,0,48,48,7808,
Arapahoe,0,213673,213673,127356,127356,503,503,328,328,926,926,41,41,5424,5424,297,297,189,189,63,63,67,67,45,45,65,65,41,41,25,25,94,94,118,118,58,58,45,45,17,17,908,908,350283,
Archuleta,0,3738,3738,5189,5189,20,20,9,9,19,19,1,1,120,120,7,7,6,6,1,1,0,0,0,0,3,3,0,0,0,0,2,2,2,2,2,2,5,5,0,0,20,20,9144,
Baca,0,317,317,1866,1866,2,2,0,0,3,3,2,2,26,26,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2224,
Bent,0,732,732,1503,1503,5,5,0,0,6,6,1,1,15,15,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,7,7,2274,
Boulder,0,159089,159089,42501,42501,219,219,122,122,697,697,22,22,2539,2539,143,143,75,75,19,19,23,23,26,26,24,24,24,24,12,12,22,22,103,103,20,20,33,33,7,7,391,391,206111,
Broomfield,0,29077,29077,16295,16295,74,74,46,46,104,104,2,2,772,772,50,50,23,23,6,6,8,8,5,5,2,2,7,7,1,1,10,10,14,14,13,13,13,13,4,4,106,106,46632,
Chaffee,0,7160,7160,6222,6222,20,20,10,10,46,46,2,2,189,189,14,14,11,11,3,3,2,2,1,1,4,4,1,1,0,0,3,3,2,2,3,3,1,1,1,1,22,22,13717,
Cheyenne,0,131,131,993,993,3,3,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1136,
