"19,194 18,280 20,694","21,161",,
"2,055 14,778 2,048 2,128","1,997",,"14,163"
"15,134 541 1,281 22,039 571 1,859 26,96()' 1,413 478 18,016 1,164 565","18,433 1,134",425,"1,766 21,534 377"
"1,578 1,355 1,528","1,456","1,311","1,245"
"11,022 18,900 12,221","14,178","1,218","1,140"
"2,192 1,733 566 1,806 660 2,141 479","2,032 439","16,791","15,667 1,570"
763 898 772,748,644,558
"1,694 747 1,609 1,604","1,467",837,
"1,311 591 854 1,360 676 568 951 1,165 769","1,075 807","1,418 860",
"426 3,155 326 402 4,098 781 491 3,030 326","299 2,843","3,786",
"83,390 3,433 122,516 102,174","105,626","86,693",
496 299 451,425,270,"87,559"
"1,163 1,086 942 20,187 24,379 3,991 919 688 823 27,712 5,333 243 1,386 1,045 718 19,707 4,055 994 843 692","837 18,267 4,108 929 653","1,266 27,021 4,586 1,018 767","4,465"
"2,520 2,819 2,400","2,216","2,695","2,422"
251 277 223,233,256,238
803 932 671,617,893,825
"1,095 1,251 1,178","1,061","1,081",994
67 136 59,58,112,115
"2,712 1,260 2,622","2,525","1,164","1,119"
409 431 331,312,453,414
"19,760 35,037 24,113","24,784","28,458","27,480"
610 754 615,598,709,651
"1,420 1,820 1,138","1,029","2,077","1,593"
"1,923 891 1,841","1,678",788,675
"3,655 4,335 3,658","3,614","3,883","3,521"
"8,582 14,308 8,125","8,410","13,564","12,128"
"6,712 2,772 6,365","6,202","2,287","2,274"
"1,163 1,325 1,028","1,001","1,306","1,088"
"3,544 4,666 3,470","3,251","4,226","3,511"
"9,329 12,478 10,053","9,461","10,807","9,889"
187 109 166,152,103,94
"1,324 1,644 1,314","1,216","1,483","1,353"
"2,570 2,188 2,382","2,291","2,067","1,803"
"3,246 3,510 3,082","2,959","3,285","2,978"
"3,477 4,742 3,228","3,422","4,431","3,854"
"4,836 5,563 4,911","4,708","4,873","4,366"
449 489 428,412,439,402
515 566 470,454,530,486
"1,002 1,211 881",864,"1,156","1,005"
473 654 502,472,567,494
"2,767 3,185 2,770","2,591","2,780","2,538"
"25,268 18,673 25,801","26,169","16,531","15,872"
"877 1,235 883",863,"1,088",961
"1,951 2,260 1,731","1,572","2,091","1,878"
"1,573 1,487 1,561","1,486","1,290","1,196"
"1,020 904 966",880,872,807
314 184 289,299,193,174
743 393 665,612,350,304
"877 1,079 860",773,"1,031",901
444 377 419,402,340,301
722 592 651,603,556,480
"1,307 1,693 1,041","1,060","1,743","1,426"
"12,807 15,626 12,107","12,515","15,099","13,297"
"1,949 2,246 1,489","1,511","2,639","2,031"
"307,841 395,734 332,005","334,936","330,633","312,688"
