"21,168 18,452",164,14,"16,844","21,578",
"1,811 2,271",3,1,"2,134","2,015",98
"17,400 15 12,276 10 1,228 205 567 8 952 19,791 26,379 1,815 1,671 489",109 105 2 4 1,28 25 3 0 1,"25,140 18,742 1,750 1,628 517","17,666 12,339 1,093 1,420 560",28
"1,918 39 419 2,094 806",3 2,1 0,"2,037 788","2,028 538",105 3
688 964,0,0,950,735,
"2,069 1,367",42,45,"1,728","1,686",7
"1,351 637",10,3,757,"1,252",35 9
"705 1,099",1,0,"1,070",BOO,10
"3 2,689 314 4,644 509",0 6,0 4,"511 4,538","331 2,556",32
"109,637 599 386 109,446 476","1,429 0",189 0,"106,191 371","107,321 398",11
"823 1,490",0,0,"1,433",915,19
880 989,2,0,"1,014",920,12
"6 17,018 686 31,625 1,240",0 40,2 21,"1,227 30,319","720 18,461",372
"3,730 5,690",13,21,"5,523","3,976",59
"2,313 3,215",9,2,"3,255","2,391",32
223 315,0,0,293,238,6
"657 1,104",1,1,"1,106",677,14
"1,044 1,296",1,2,"1,319","1,073",11
82 138,0,0,137,84,1
"2,673 1,367",8,5,"1,521","2,535",44
360 504,1,0,530,341,6
"22,962 34,105",107,30,"32,430","23,327",315
498 865,1,0,847,572,7
"1,103 2,248",2,8,"2,082","1,277",16
"1,842 954",2,5,"1,123","1,741",36
"3,329 4,772",6,4,"4,783","3,451",51
"7,550 15,671",23,11,"15,035","8,365",.138
"6,704 2,989",15,14,"3,396","6,393",65
"1,041 1,498",3,0,"1,468","1,098",14
"3,334 5,002",1,4,"4,772","3,610",27
"9,072 13,015",32,13,"12,135","10,059",130
158 146,0,1,136,172,2
"1,200 1,754",2,1,"1,842","1,163",19
"2,115 2,778",5,2,"2,567","2,373",79
"2,861 4,040",17,7,"3,836","3,139",39
"3,151 5,092",11,5,"5,044","3,366",40
"4,199 6,015",7,8,"5,891","4,662",56
432 508,0,0,513,448,2
438 642,2,0,603,492,10
"862 1,455",1,0,"1,305","1,029",12
488 679,0,0,669,496,12
"2,457 3,567",3,3,"3,882","2,282",18
"27,421 20,579",541,41,"21,057","25,288",126
"794 1,391",2,1,"1,314",888,19
"1,782 2,524",5,1,"2,478","1,915",30
"1,414 1,651",1,1,"1,613","1,492",25
984 956,6,3,997,982,10
261 218,3,0,220,279,1
612 525,2,0,490,683,13
"769 1,230",3,1,"1,190",830,9
400 424,3,1,402,435,12
622 723,3,1,675,673,17
"1,039 1,979",3,1,"1,955","1,142",8
"11,179 17,558",30,23,"16,757","12,325",171
"1,489 2,806",5,5,"2,543","1,755",23
"330,629 402,242","2,803",572,"389,428","331,752","3,351"
