Year,Election Type,County,Precinct,Active Voters,Inactive Voters,Total Voters,Ballots Cast,Total Voters Turnout %
2016,G,ADAMS,4253001245,379,22,401,339,84.54
2016,G,ADAMS,4255601241,43,10,53,31,58.49
2016,G,ADAMS,4255601246,1123,160,1283,948,73.89
2016,G,ADAMS,4255601247,938,60,998,840,84.17
2016,G,ADAMS,4255601248,1935,174,2109,1703,80.75
2016,G,ADAMS,4255601249,361,36,397,313,78.84
2016,G,ADAMS,6243101150,1546,102,1648,1320,80.1
2016,G,ADAMS,6243101151,1444,116,1560,1239,79.42
2016,G,ADAMS,6243101159,1232,77,1309,1086,82.96
2016,G,ADAMS,6243401075,1759,83,1842,1587,86.16
2016,G,ADAMS,6243401076,1191,107,1298,1069,82.36
2016,G,ADAMS,6243401077,725,77,802,635,79.18
2016,G,ADAMS,6245601071,821,65,886,726,81.94
2016,G,ADAMS,6245601072,267,10,277,228,82.31
2016,G,ADAMS,6245601073,1132,73,1205,1034,85.81
2016,G,ADAMS,6245601074,1081,71,1152,954,82.81
2016,G,ADAMS,6245601160,353,20,373,314,84.18
2016,G,ADAMS,6253001152,1088,106,1194,945,79.15
2016,G,ADAMS,6253001153,775,92,867,655,75.55
2016,G,ADAMS,6253001154,55,1,56,44,78.57
2016,G,ADAMS,6253001155,364,34,398,312,78.39
2016,G,ADAMS,6253001156,316,18,334,282,84.43
2016,G,ADAMS,6253001157,896,87,983,777,79.04
2016,G,ADAMS,6253001226,218,9,227,186,81.94
2016,G,ADAMS,6253001229,1870,631,2501,1159,46.34
2016,G,ADAMS,6253001230,1465,255,1720,1020,59.3
2016,G,ADAMS,6253001231,1442,279,1721,1004,58.34
2016,G,ADAMS,6253001232,1839,412,2251,1270,56.42
2016,G,ADAMS,6253001233,1363,165,1528,1044,68.32
2016,G,ADAMS,6253001234,1169,141,1310,839,64.05
2016,G,ADAMS,6253001235,796,175,971,535,55.1
2016,G,ADAMS,6253001236,1227,175,1402,934,66.62
2016,G,ADAMS,6253001237,1054,197,1251,741,59.23
2016,G,ADAMS,6253001238,1186,139,1325,915,69.06
2016,G,ADAMS,6253001239,1029,130,1159,832,71.79
2016,G,ADAMS,6253001240,1466,218,1684,1179,70.01
2016,G,ADAMS,6253001242,440,44,484,374,77.27
2016,G,ADAMS,6253001243,848,47,895,748,83.58
2016,G,ADAMS,6253101158,844,93,937,725,77.37
2016,G,ADAMS,6255601161,141,8,149,123,82.55
2016,G,ADAMS,6255601162,909,56,965,844,87.46
2016,G,ADAMS,6255601163,378,17,395,342,86.58
2016,G,ADAMS,6255601164,432,29,461,392,85.03
2016,G,ADAMS,6255601165,1091,38,1129,1052,93.18
2016,G,ADAMS,6255601166,478,23,501,419,83.63
2016,G,ADAMS,6255601167,564,31,595,507,85.21
2016,G,ADAMS,6255601168,306,12,318,279,87.74
2016,G,ADAMS,6255601169,500,19,519,432,83.24
2016,G,ADAMS,6255601170,1363,186,1549,1057,68.24
2016,G,ADAMS,6255601171,1400,107,1507,1151,76.38
2016,G,ADAMS,6255601172,261,52,313,210,67.09
2016,G,ADAMS,6255601173,96,6,102,85,83.33
2016,G,ADAMS,6255601174,427,20,447,374,83.67
2016,G,ADAMS,6255601175,1202,138,1340,1042,77.76
2016,G,ADAMS,6255601176,492,46,538,428,79.55
2016,G,ADAMS,6255601177,0,0,0,0,0
2016,G,ADAMS,6255601178,1,0,1,0,0
2016,G,ADAMS,6255601179,0,0,0,0,0
2016,G,ADAMS,6255601180,889,64,953,780,81.85
2016,G,ADAMS,6255601181,1310,170,1480,1100,74.32
2016,G,ADAMS,6255601182,639,72,711,542,76.23
2016,G,ADAMS,6255601183,242,26,268,213,79.48
2016,G,ADAMS,6255601184,286,25,311,259,83.28
2016,G,ADAMS,6255601185,538,49,587,480,81.77
2016,G,ADAMS,6255601186,1257,107,1364,1041,76.32
2016,G,ADAMS,6255601187,1137,157,1294,936,72.33
2016,G,ADAMS,6255601188,770,67,837,686,81.96
2016,G,ADAMS,6255601189,802,51,853,721,84.53
2016,G,ADAMS,6255601190,1239,99,1338,1047,78.25
2016,G,ADAMS,6255601191,1451,151,1602,1173,73.22
2016,G,ADAMS,6255601192,935,124,1059,748,70.63
2016,G,ADAMS,6255601193,1208,180,1388,962,69.31
2016,G,ADAMS,6255601194,424,31,455,359,78.9
2016,G,ADAMS,6255601195,367,29,396,334,84.34
2016,G,ADAMS,6255601196,123,35,158,87,55.06
2016,G,ADAMS,6255601197,58,17,75,50,66.67
2016,G,ADAMS,6255601198,671,31,702,585,83.33
2016,G,ADAMS,6255601227,348,15,363,310,85.4
2016,G,ADAMS,6255601228,907,54,961,805,83.77
2016,G,ADAMS,6255601244,739,48,787,655,83.23
2016,G,ADAMS,7213001130,272,34,306,225,73.53
2016,G,ADAMS,7213001140,599,43,642,469,73.05
2016,G,ADAMS,7213001141,840,133,973,681,69.99
2016,G,ADAMS,7213001199,696,81,777,605,77.86
2016,G,ADAMS,7213001200,128,5,133,118,88.72
2016,G,ADAMS,7213001201,262,23,285,232,81.4
2016,G,ADAMS,7213001202,405,35,440,353,80.23
2016,G,ADAMS,7213001203,336,20,356,300,84.27
2016,G,ADAMS,7213001204,718,82,800,614,76.75
2016,G,ADAMS,7213001205,1295,111,1406,1086,77.24
2016,G,ADAMS,7213001206,1304,103,1407,1072,76.19
2016,G,ADAMS,7213001207,677,86,763,587,76.93
2016,G,ADAMS,7213001210,1265,82,1347,1054,78.25
2016,G,ADAMS,7213001211,437,49,486,376,77.37
2016,G,ADAMS,7213001212,308,18,326,278,85.28
2016,G,ADAMS,7213001213,360,12,372,323,86.83
2016,G,ADAMS,7213001214,1022,114,1136,908,79.93
2016,G,ADAMS,7213001215,1254,185,1439,1081,75.12
2016,G,ADAMS,7213001225,220,20,240,193,80.42
2016,G,ADAMS,7213101117,1680,140,1820,1297,71.26
2016,G,ADAMS,7213101118,992,130,1122,752,67.02
2016,G,ADAMS,7213201001,1469,276,1745,1068,61.2
2016,G,ADAMS,7213201002,1506,185,1691,1184,70.02
2016,G,ADAMS,7213201003,1138,46,1184,1008,85.14
2016,G,ADAMS,7213201004,889,115,1004,670,66.73
2016,G,ADAMS,7213201005,1586,144,1730,1262,72.95
2016,G,ADAMS,7213201006,1071,159,1230,754,61.3
2016,G,ADAMS,7213201007,1288,109,1397,1027,73.51
2016,G,ADAMS,7213201008,1016,78,1094,817,74.68
2016,G,ADAMS,7213201009,900,95,995,768,77.19
2016,G,ADAMS,7213201021,1446,228,1674,1084,64.76
2016,G,ADAMS,7213201022,1442,120,1562,1109,71
2016,G,ADAMS,7213201023,1043,126,1169,814,69.63
2016,G,ADAMS,7213201119,1294,219,1513,1002,66.23
2016,G,ADAMS,7213201120,1218,148,1366,941,68.89
2016,G,ADAMS,7213201121,1129,152,1281,849,66.28
2016,G,ADAMS,7213201122,754,77,831,569,68.47
2016,G,ADAMS,7213201123,1473,201,1674,1018,60.81
2016,G,ADAMS,7213201124,1488,174,1662,1071,64.44
2016,G,ADAMS,7213201125,1819,277,2096,1304,62.21
2016,G,ADAMS,7213201126,1632,170,1802,1177,65.32
2016,G,ADAMS,7213201127,1782,218,2000,1299,64.95
2016,G,ADAMS,7213201128,1658,180,1838,1121,60.99
2016,G,ADAMS,7213201129,1451,169,1620,1037,64.01
2016,G,ADAMS,7213201208,551,50,601,460,76.54
2016,G,ADAMS,7213201209,761,71,832,629,75.6
2016,G,ADAMS,7213201216,1575,217,1792,1300,72.54
2016,G,ADAMS,7213201217,832,111,943,698,74.02
2016,G,ADAMS,7213201218,769,71,840,677,80.6
2016,G,ADAMS,7213201219,298,34,332,256,77.11
2016,G,ADAMS,7213201220,0,0,0,0,0
2016,G,ADAMS,7213201221,490,53,543,422,77.72
2016,G,ADAMS,7213201222,0,0,0,0,0
2016,G,ADAMS,7213201223,0,0,0,0,0
2016,G,ADAMS,7213201224,40,4,44,32,72.73
2016,G,ADAMS,7213401027,761,249,1010,541,53.56
2016,G,ADAMS,7213401030,1060,172,1232,761,61.77
2016,G,ADAMS,7213401035,1131,194,1325,784,59.17
2016,G,ADAMS,7213401036,769,79,848,679,80.07
2016,G,ADAMS,7213401042,1051,214,1265,829,65.53
2016,G,ADAMS,7213501010,1410,260,1670,1102,65.99
2016,G,ADAMS,7213501011,1569,204,1773,1219,68.75
2016,G,ADAMS,7213501012,1188,124,1312,972,74.09
2016,G,ADAMS,7213501013,1645,243,1888,1291,68.38
2016,G,ADAMS,7213501014,1126,120,1246,906,72.71
2016,G,ADAMS,7213501015,1389,375,1764,1021,57.88
2016,G,ADAMS,7213501016,1118,108,1226,932,76.02
2016,G,ADAMS,7213501017,985,101,1086,815,75.05
2016,G,ADAMS,7213501018,1054,157,1211,836,69.03
2016,G,ADAMS,7213501019,763,83,846,621,73.4
2016,G,ADAMS,7213501020,1145,202,1347,859,63.77
2016,G,ADAMS,7213501024,1315,130,1445,1055,73.01
2016,G,ADAMS,7213501025,1311,128,1439,1008,70.05
2016,G,ADAMS,7213501026,1622,274,1896,1246,65.72
